comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,vkm_per_original_request,20,20,0,0,0,-1.183578655948847,-1.1476923099833676,-2.1399848660650163,-0.5654597627175675,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,avg_wait,20,20,0,0,0,-3431.1093239114334,-3405.2597161080694,-5914.083645369818,-400.69308728812615,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,avg_wait,20,20,0,0,0,-3156.082064931437,-2961.415340769142,-5518.388917567266,-959.3012616108924,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,avg_wait,20,20,0,0,0,-3381.3225916361603,-3549.910944153841,-6035.641108917454,-848.7624564862722,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,avg_walk,20,20,0,0,0,81.02075782687184,69.20136281779352,29.381121119141927,155.60266105696053,0.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,avg_walk,20,20,0,0,0,-843.5325618433502,-822.9584175199092,-987.6598639859799,-747.199945702008,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,avg_walk,20,20,0,0,0,-803.7791821259644,-802.1632466286524,-925.6960645891154,-687.1342629113952,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,200,avg_ivt,20,20,0,0,0,-5076.575148760587,-5179.34743511227,-6407.414671478244,-2799.647910037795,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,200,avg_ivt,20,20,0,0,0,-4890.486077534275,-5021.282000969663,-6770.6048127529675,-3231.9832759426486,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,200,avg_ivt,20,20,0,0,0,-4208.583511171536,-4066.868202569284,-7386.634915936575,-2319.061691973614,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,served_share,20,20,0,0,0,-0.044333333333333336,-0.04166666666666663,-0.10999999999999999,0.06999999999999999,0.1
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,served_share,20,20,0,0,0,-0.037166666666666674,-0.0333333333333333,-0.12,0.0366666666666666,0.05
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,served_share,20,20,0,0,0,-0.032666666666666656,-0.03166666666666665,-0.08333333333333329,0.0033333333333333826,0.05
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,behavioral_acceptance_rate,20,20,0,0,0,0.054500000000000014,0.08833333333333337,-0.21333333333333337,0.30666666666666664,0.65
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,behavioral_acceptance_rate,20,20,0,0,0,-0.0038333333333333054,-0.013333333333333308,-0.18666666666666654,0.20333333333333337,0.45
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,behavioral_acceptance_rate,20,20,0,0,0,0.014833333333333342,0.026666666666666616,-0.1333333333333333,0.17666666666666664,0.6
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,choice_rejection_rate,20,20,0,0,0,-0.054500000000000014,-0.08833333333333337,-0.3066666666666667,0.21333333333333343,0.65
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,choice_rejection_rate,20,20,0,0,0,0.0038333333333333357,0.013333333333333308,-0.20333333333333342,0.1866666666666666,0.45
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,choice_rejection_rate,20,20,0,0,0,-0.014833333333333337,-0.026666666666666616,-0.1766666666666667,0.13333333333333336,0.6
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,feasibility_rejection_rate,20,20,0,0,0,0.09883333333333336,0.1383333333333333,-0.2833333333333334,0.4133333333333334,0.2
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,feasibility_rejection_rate,20,20,0,0,0,0.033333333333333326,0.011666666666666659,-0.22333333333333344,0.32333333333333336,0.45
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,feasibility_rejection_rate,20,20,0,0,0,0.04750000000000001,0.051666666666666694,-0.11000000000000004,0.23333333333333336,0.3
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,total_vehicle_km,20,20,0,0,0,-384.2851111880753,-391.1326508638674,-685.3204920924213,0.15985557422192187,0.95
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,total_vehicle_km,20,20,0,0,0,-302.46117391124415,-319.1172144213467,-513.7492419347966,-64.53774597436842,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,total_vehicle_km,20,20,0,0,0,-286.83933327705756,-274.1369439126319,-438.63214327600497,-115.82662590209429,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,vkm_per_served_trip,20,20,0,0,0,-4.171698541542947,-4.4137616098626165,-5.949913949378978,-1.9336079796931251,1.0
